,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowD,SlowK,RSI,Chaikin A/D,OBV,Aroon Down,Aroon Up
2008-09-17,16.2404,138.51,127.83,42873400.0,133.2705,160.8235,188.3765,155.5042,14.8911,11.2814,17.0723,1473510525.9905,1804258555.0,100.0,7.1429
2008-09-18,17.0357,140.0,120.68,59866200.0,129.7606,158.736,187.7114,153.4647,17.9396,26.0681,26.9126,1496750510.4626,1864124755.0,100.0,0.0
2008-09-19,17.9021,144.2,136.31,51102700.0,128.0222,157.067,186.1118,152.2691,25.7007,39.7527,35.8444,1505235242.6552,1915227455.0,92.8571,7.1429
2008-09-22,16.6495,140.25,130.66,30596900.0,125.1109,154.78,184.4491,150.2482,40.0901,54.4495,30.1144,1477126933.0619,1884630555.0,85.7143,0.0
2008-09-23,16.1146,135.8,126.66,45727300.0,121.6346,152.4945,183.3544,148.0188,47.5317,48.3929,28.0524,1433200708.3354,1838903255.0,78.5714,0.0
2008-09-24,16.3522,130.95,125.15,37393400.0,119.331,150.248,181.165,146.1799,45.8832,34.8073,30.3342,1441710930.4044,1876296655.0,71.4286,0.0
2008-09-25,16.7613,134.79,128.52,35930200.0,118.355,148.111,177.867,144.8228,38.3914,31.9741,34.2038,1444862702.3342,1912226855.0,64.2857,7.1429
2008-09-26,16.2925,129.8,123.0,40230400.0,117.3348,145.836,174.3372,143.2435,33.3836,33.3695,32.0096,1466634448.2166,1871996455.0,57.1429,0.0
2008-09-29,13.3729,119.68,100.59,93644900.0,111.1898,142.6225,174.0552,139.626,30.5846,26.4102,22.3806,1418806382.4754,1778351555.0,100.0,0.0
2008-09-30,14.4401,115.0,106.3,58095800.0,108.104,139.996,171.888,137.153,29.0217,27.2855,30.5989,1459006005.0041,1836447355.0,92.8571,0.0
2008-10-01,13.8633,112.36,107.39,46303000.0,105.0276,137.104,169.1804,134.4832,26.3898,25.4737,28.8226,1444938091.5232,1790144355.0,85.7143,0.0
2008-10-02,12.7174,108.79,100.0,57477300.0,100.1498,134.048,167.9462,131.2086,24.6412,21.1645,25.6382,1388768579.9191,1732667055.0,100.0,0.0
2008-10-03,12.3324,106.5,94.65,81942800.0,95.5916,130.8925,166.1934,127.9573,19.4289,11.6485,24.6529,1340294400.341,1650724255.0,100.0,0.0
2008-10-06,12.4684,98.78,87.54,75264900.0,92.1423,127.9035,163.6647,125.1176,16.3383,16.2019,25.7383,1406988208.5261,1725989155.0,100.0,21.4286
2008-10-07,11.3275,101.5,88.95,67099000.0,87.0028,124.7775,162.5522,121.6931,15.372,18.2657,22.7733,1342134752.7492,1658890155.0,92.8571,14.2857
2008-10-08,11.4075,96.33,85.68,78847900.0,83.092,121.6865,160.281,118.6547,18.4795,20.971,23.4397,1324144105.1436,1737738055.0,100.0,7.1429
2008-10-09,11.2741,95.8,86.6,57763700.0,80.0978,118.491,156.8842,115.8057,17.4132,13.003,23.0822,1293253082.9697,1679974355.0,92.8571,0.0
2008-10-10,12.2981,100.0,85.0,79260700.0,79.0665,115.884,152.7015,113.9956,22.8799,34.6657,31.6936,1338695884.303,1759235055.0,100.0,0.0
2008-10-13,14.0082,110.53,101.02,54967000.0,79.2652,114.379,149.4928,113.6398,36.4623,61.7183,43.1418,1390541729.7289,1814202055.0,92.8571,0.0
2008-10-14,13.223,116.4,103.14,70749800.0,79.2526,112.589,145.9254,112.7294,57.8193,77.074,39.8402,1329822821.4332,1743452255.0,85.7143,7.1429
2008-10-15,12.4442,107.0,97.89,56577700.0,77.947,111.095,144.243,111.3218,68.5917,66.9829,36.8294,1273990382.026,1686874555.0,78.5714,0.0
2008-10-16,12.9448,103.43,91.74,70732900.0,77.8684,109.485,141.1016,110.4235,65.3297,51.9321,39.9696,1326087068.8523,1757607455.0,71.4286,0.0
2008-10-17,12.3743,102.04,85.885,62936700.0,78.8072,107.3095,135.8118,109.1832,54.3903,44.2558,37.6714,1352870715.5561,1694670755.0,64.2857,0.0
2008-10-20,12.5065,100.03,93.64,55327500.0,79.1317,105.679,132.2263,108.16,46.8036,44.223,38.5527,1380664342.3167,1749998255.0,57.1429,71.4286
2008-10-21,11.6235,97.9,91.16,78345000.0,78.5546,103.9115,129.2684,106.5724,41.2068,35.1414,34.992,1309991107.8953,1671653255.0,50.0,64.2857
2008-10-22,12.307,101.25,92.93,80314600.0,79.5213,102.3195,125.1177,105.6484,40.9325,43.4331,39.6395,1305743701.1646,1751967855.0,42.8571,57.1429
2008-10-23,12.4798,99.25,91.9,59836800.0,82.2936,100.6345,118.9754,104.9419,44.5883,55.1905,40.7918,1348972736.2666,1811804655.0,35.7143,50.0
2008-10-24,12.2448,97.9,90.11,56787800.0,85.7206,99.0415,112.3624,104.1264,54.5756,65.1034,39.6821,1383599443.5837,1755016855.0,28.5714,42.8571
2008-10-27,11.6997,97.63,91.86,43170400.0,85.0547,98.383,111.7113,102.9801,56.8172,50.1578,37.1575,1343870704.5889,1711846455.0,21.4286,35.7143
2008-10-28,12.6932,100.5,92.37,58361900.0,86.3139,97.6955,109.0771,102.6877,56.4236,54.0096,44.1345,1393761873.7156,1770208355.0,14.2857,28.5714
2008-10-29,13.2827,109.54,99.94,69677800.0,86.8545,97.467,108.0795,102.8651,54.7295,60.021,47.8352,1391003794.1322,1839886155.0,7.1429,21.4286
2008-10-30,14.1073,112.19,107.61,58503200.0,85.8943,98.014,110.1337,103.6436,66.5748,85.6937,52.568,1420127657.8877,1898389355.0,0.0,14.2857
2008-10-31,13.6689,110.78,105.14,59277000.0,85.736,98.54,111.344,104.0195,75.9586,82.161,49.9725,1412350179.1643,1839112355.0,28.5714,7.1429
2008-11-03,13.5889,109.1,104.86,37783500.0,85.6652,98.981,112.2968,104.2995,83.2602,81.9258,49.4919,1411993731.0511,1801328855.0,21.4286,0.0
2008-11-04,14.1009,111.79,106.67,49952900.0,86.5781,100.0725,113.5669,104.9367,81.4945,80.3966,52.6301,1446336349.8011,1851281755.0,14.2857,78.5714
2008-11-05,13.1239,109.72,102.99,44873400.0,88.0511,100.748,113.4449,104.7808,72.6837,55.7287,46.6711,1405596903.4415,1806408355.0,7.1429,71.4286
2008-11-06,12.5903,102.78,98.0,47109800.0,89.7837,101.266,112.7483,104.2398,56.6585,33.8501,43.7571,1380169438.1695,1759298555.0,0.0,64.2857
2008-11-07,12.4811,99.85,95.72,39116200.0,89.951,101.338,112.725,103.6684,32.8627,9.0093,43.1628,1388788261.8984,1720182355.0,28.5714,57.1429
2008-11-10,12.1812,100.4,94.5,40136500.0,89.7731,100.619,111.4649,102.9267,17.802,10.5466,41.4973,1367427480.5424,1680045855.0,21.4286,50.0
2008-11-11,12.0402,97.17,92.26,43733500.0,89.1438,100.1535,111.1632,102.1498,10.7451,12.6795,40.7018,1368407253.4548,1636312355.0,14.2857,42.8571
2008-11-12,11.4494,93.24,90.01,42106300.0,87.9398,99.762,111.5842,101.0041,10.3219,7.7395,37.4618,1329168874.8171,1594206055.0,100.0,35.7143
2008-11-13,12.2524,96.44,86.02,66217400.0,87.6249,99.4895,111.3541,100.5695,16.5507,29.233,43.9879,1395386274.8171,1660423455.0,100.0,28.5714
2008-11-14,11.4647,93.99,90.0,50188100.0,86.6218,99.1315,111.6412,99.5857,23.7319,34.2232,39.6199,1351235840.9825,1610235355.0,92.8571,21.4286
2008-11-17,11.1979,90.55,87.26,41518800.0,85.2188,98.6165,112.0142,98.4956,34.5766,40.2738,38.235,1331927706.0281,1568716555.0,85.7143,14.2857
2008-11-18,11.4228,90.99,86.86,43203400.0,84.9553,98.5375,112.1197,97.6779,34.3536,28.5639,40.1345,1352535623.2194,1611919955.0,78.5714,7.1429
2008-11-19,10.9629,91.58,86.21,41853600.0,83.4208,98.0085,112.5962,96.5934,29.4944,19.6456,37.5885,1311929057.8562,1570066355.0,71.4286,0.0
2008-11-20,10.226,86.45,80.0,61314800.0,80.6587,97.1215,113.5843,95.0597,20.8949,14.4752,33.88,1259930304.988,1508751555.0,100.0,14.2857
2008-11-21,10.4915,84.12,79.14,56045400.0,78.7878,96.4315,114.0752,93.8712,15.1232,11.2488,36.3181,1281313088.1205,1564796955.0,100.0,7.1429
2008-11-24,11.809,94.79,84.84,51509200.0,78.8692,96.4745,114.0798,93.7834,21.8411,39.7993,46.8002,1313771649.3266,1616306155.0,92.8571,0.0
2008-11-25,11.5358,94.7099,88.16,44117600.0,78.3216,96.019,113.7164,93.4993,38.1716,63.4668,45.1412,1305218092.7471,1572188555.0,85.7143,0.0
2008-11-26,12.0694,95.25,89.85,32137000.0,78.2806,95.5415,112.8024,93.6422,63.4438,87.0653,48.9484,1334379444.5989,1604325555.0,78.5714,0.0
2008-11-28,11.7734,94.76,91.86,10634800.0,78.8695,94.623,110.3765,93.5496,78.726,85.646,46.9997,1329685463.9093,1593690755.0,71.4286,7.1429
2008-12-01,11.2983,92.27,88.923,32991700.0,78.9407,93.69,108.4393,93.1097,82.2063,73.9075,43.9735,1296831763.252,1560699055.0,64.2857,0.0
2008-12-02,11.748,92.65,86.5,41025800.0,79.5296,92.9655,106.4014,93.0488,74.4626,63.8343,47.4242,1335456053.0081,1601724855.0,57.1429,0.0
